organization,official_website,logo_url,verification_status,source_type
sentence-transformers,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
cross-encoder,https://huggingface.co/cross-encoder/ms-marco-MiniLM-L6-v2,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
BAAI,https://huggingface.co/BAAI/bge-small-en-v1.5,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
google-bert,https://research.google/,https://www.google.com/s2/favicons?domain=research.google&sz=128,verified_official,known_official_mapping
google,https://huggingface.co/google/electra-base-discriminator,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
amazon,https://www.amazon.com/,https://www.google.com/s2/favicons?domain=amazon.com&sz=128,verified_official,known_official_mapping
Qwen,https://qwen.ai/,https://www.google.com/s2/favicons?domain=qwen.ai&sz=128,verified_official,known_official_mapping
Comfy-Org,https://huggingface.co/Comfy-Org/MiniMax-H3,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
google-t5,https://research.google/,https://www.google.com/s2/favicons?domain=research.google&sz=128,verified_official,known_official_mapping
FacebookAI,https://ai.meta.com/,https://www.google.com/s2/favicons?domain=ai.meta.com&sz=128,verified_official,known_official_mapping
openai,https://openai.com/,https://www.google.com/s2/favicons?domain=openai.com&sz=128,verified_official,known_official_mapping
timm,https://huggingface.co/timm/mobilenetv3_small_100.lamb_in1k,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
nomic-ai,https://www.nomic.ai/,https://www.google.com/s2/favicons?domain=nomic.ai&sz=128,verified_official,known_official_mapping
trl-internal-testing,https://huggingface.co/trl-internal-testing/tiny-Qwen2ForCausalLM-2.5,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
openai-community,https://huggingface.co/openai-community/gpt2,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
jonatasgrosman,https://huggingface.co/jonatasgrosman/wav2vec2-large-xlsr-53-japanese,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
unsloth,https://unsloth.ai/,https://www.google.com/s2/favicons?domain=unsloth.ai&sz=128,verified_official,known_official_mapping
intfloat,https://huggingface.co/intfloat/multilingual-e5-small,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
hexgrad,https://huggingface.co/hexgrad/Kokoro-82M,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
argmaxinc,https://huggingface.co/argmaxinc/whisperkit-coreml,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
nvidia,https://www.nvidia.com/,https://www.google.com/s2/favicons?domain=nvidia.com&sz=128,verified_official,known_official_mapping
facebook,https://about.meta.com/,https://www.google.com/s2/favicons?domain=about.meta.com&sz=128,verified_official,known_official_mapping
Bingsu,https://huggingface.co/Bingsu/adetailer,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
pyannote,https://huggingface.co/pyannote/speaker-diarization-3.1,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
laion,https://huggingface.co/laion/clap-htsat-fused,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
coqui,https://huggingface.co/coqui/XTTS-v2,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
lpiccinelli,https://huggingface.co/lpiccinelli/unidepth-v2-vitl14,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
farbodtavakkoli,https://huggingface.co/farbodtavakkoli/OTel-2.0-LLM-31B-IT,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
distilbert,https://huggingface.co/distilbert/distilbert-base-uncased,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
autogluon,https://huggingface.co/autogluon/chronos-2,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
meta-llama,https://www.llama.com/,https://www.google.com/s2/favicons?domain=llama.com&sz=128,verified_official,known_official_mapping
ibm-granite,https://huggingface.co/ibm-granite/granite-embedding-small-english-r2,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
MiniMaxAI,https://huggingface.co/MiniMaxAI/MiniMax-H3,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
ProsusAI,https://huggingface.co/ProsusAI/finbert,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
answerdotai,https://huggingface.co/answerdotai/ModernBERT-base,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
dphn,https://huggingface.co/dphn/dolphin-2.9.1-yi-1.5-34b,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
deepseek-ai,https://www.deepseek.com/,https://www.google.com/s2/favicons?domain=deepseek.com&sz=128,verified_official,known_official_mapping
ornith-ai,https://huggingface.co/ornith-ai/Ornith-1.0-9B-GGUF,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
datasocietyco,https://huggingface.co/datasocietyco/bge-base-en-v1.5-course-recommender-v5,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
dbmdz,https://huggingface.co/dbmdz/bert-large-cased-finetuned-conll03-english,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
Falconsai,https://huggingface.co/Falconsai/nsfw_image_detection,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
microsoft,https://www.microsoft.com/,https://www.google.com/s2/favicons?domain=microsoft.com&sz=128,verified_official,known_official_mapping
EleutherAI,https://www.eleuther.ai/,https://www.google.com/s2/favicons?domain=eleuther.ai&sz=128,verified_official,known_official_mapping
baidu,https://www.baidu.com/,https://www.google.com/s2/favicons?domain=baidu.com&sz=128,verified_official,known_official_mapping
indonesian-nlp,https://huggingface.co/indonesian-nlp/wav2vec2-indonesian-javanese-sundanese,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
RadixArk,https://huggingface.co/RadixArk/Kimi-K3-DSpark,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
cardiffnlp,https://huggingface.co/cardiffnlp/twitter-roberta-base-sentiment-latest,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
mixedbread-ai,https://huggingface.co/mixedbread-ai/mxbai-embed-large-v1,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
charactr,https://huggingface.co/charactr/vocos-mel-24khz,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
datalab-to,https://huggingface.co/datalab-to/chandra-ocr-2,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
usyd-community,https://huggingface.co/usyd-community/vitpose-plus-base,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
mistralai,https://mistral.ai/,https://www.google.com/s2/favicons?domain=mistral.ai&sz=128,verified_official,known_official_mapping
lmstudio-community,https://huggingface.co/lmstudio-community/Qwen3.8-27B-MLX-4bit,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
E-MIMIC,https://huggingface.co/E-MIMIC/inclusively-reformulation-it5,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
moonshotai,https://huggingface.co/moonshotai/Kimi-K3,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
NeoQuasar,https://huggingface.co/NeoQuasar/Kronos-Tokenizer-base,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
HauhauCS,https://huggingface.co/HauhauCS/Gemma-4-E4B-Uncensored-HauhauCS-Aggressive,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
HuggingFaceTB,https://huggingface.co/HuggingFaceTB/SmolLM2-135M,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
Alibaba-NLP,https://huggingface.co/Alibaba-NLP/gte-reranker-modernbert-base,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
Xenova,https://huggingface.co/Xenova/all-MiniLM-L6-v2,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
MahmoudAshraf,https://huggingface.co/MahmoudAshraf/mms-300m-1130-forced-aligner,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
daekeun-ml,https://huggingface.co/daekeun-ml/koelectra-small-v3-nsmc,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
jinaai,https://huggingface.co/jinaai/jina-embeddings-v3,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
cyankiwi,https://huggingface.co/cyankiwi/gemma-4-26B-A4B-it-AWQ-4bit,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
w11wo,https://huggingface.co/w11wo/indonesian-roberta-base-posp-tagger,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
iitolstykh,https://huggingface.co/iitolstykh/mivolo_v2,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
docling-project,https://huggingface.co/docling-project/docling-models,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
JonathanColetti,https://huggingface.co/JonathanColetti/Qwen3.8-27B-Uncensored-GGUF,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
DavidAU,https://huggingface.co/DavidAU/Qwen3.6-27B-Fable-Fusion-711-Uncensored-Heretic-NM-DAU-NEO-MAX-MTP-GGUF,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
zai-org,https://huggingface.co/zai-org/GLM-OCR,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
emilyalsentzer,https://huggingface.co/emilyalsentzer/Bio_ClinicalBERT,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
dslim,https://huggingface.co/dslim/bert-base-NER,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
patrickjohncyh,https://huggingface.co/patrickjohncyh/fashion-clip,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
Systran,https://huggingface.co/Systran/faster-whisper-small,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
mlx-community,https://huggingface.co/mlx-community/parakeet-tdt-0.6b-v2,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
antirez,https://huggingface.co/antirez/deepseek-v4-gguf,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
audeering,https://huggingface.co/audeering/wav2vec2-large-robust-24-ft-age-gender,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
biohub,https://huggingface.co/biohub/ESMC-6B,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
sentence-transformers-testing,https://huggingface.co/sentence-transformers-testing/stsb-bert-tiny-safetensors,https://huggingface.co/front/assets/huggingface_logo-noborder.svg,primary_model_source,Hugging Face model page
