schemaVersion,recordType,source_name,source_url,title,authors,paper_url,github_url,github_stars,published_date,collectedAt
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27454v1,WikiSkill: Compiling Agent Experience into Persistent Knowledge for Skill Evolution,"[""Liyan Tang"", ""Cyrus Rashtchian"", ""Chun-Sung Ferng"", ""Andrew Tomkins"", ""Da-Cheng Juan"", ""Tu Vu""]",https://arxiv.org/abs/2608.27454v1,,,2026-08-27T17:59:11Z,2026-08-28T12:32:41.184310+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27449v1,"SWE-Prime: Fewer Trajectories, Better Performance","[""Dewu Zheng"", ""Ruizhe Ye"", ""Yanlin Wang"", ""Yang Ye"", ""Hongyu Zhang"", ""Ensheng Shi"", ""Xilin Liu"", ""Yuchi Ma"", ""Jianxing Yu"", ""Zibin Zheng""]",https://arxiv.org/abs/2608.27449v1,,,2026-08-27T17:58:10Z,2026-08-28T12:32:41.184423+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27442v1,From Static to Dynamic: Benchmarking Real-World Code Review with MCR-Bench,"[""Dewu Zheng"", ""Yanlin Wang"", ""Xiwen Wang"", ""Kefeng Duan"", ""Hongyu Zhang"", ""Xilin Liu"", ""Yuchi Ma"", ""Zibin Zheng""]",https://arxiv.org/abs/2608.27442v1,,,2026-08-27T17:56:24Z,2026-08-28T12:32:41.184511+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27439v1,RedEvoAgent: Automatic Red-Teaming Agent with Experience-Driven Skill Evolution,"[""Junjie Zhang"", ""Hui Liu"", ""Kecheng Chen"", ""Xianbo Mo"", ""Changsheng Chen"", ""Haoliang Li""]",https://arxiv.org/abs/2608.27439v1,,,2026-08-27T17:55:33Z,2026-08-28T12:32:41.184572+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27429v1,Mechanistic Reaction Prediction via Discrete Flow Matching on Graph-Structured Electron Occupation,"[""Nguyen Xuan-Vu"", ""Octavian Susanu"", ""Daniel Armstrong"", ""Philippe Schwaller""]",https://arxiv.org/abs/2608.27429v1,,,2026-08-27T17:50:44Z,2026-08-28T12:32:41.184639+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27427v1,Persona-Execution Separation: An Architecture Pattern for Evolving LLM Agents under Execution Audit,"[""Yisen Xi""]",https://arxiv.org/abs/2608.27427v1,,,2026-08-27T17:50:07Z,2026-08-28T12:32:41.184708+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27424v1,Beyond F1: Evaluating Coverage and Failure Recovery in AI Model Security Scanners,"[""Qianlong Lan"", ""Vinothini Pandurangan"", ""Anuj Kaul"", ""Indranil Sanyal""]",https://arxiv.org/abs/2608.27424v1,,,2026-08-27T17:49:28Z,2026-08-28T12:32:41.184772+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27421v1,Learning a Continuous Sepsis Severity Score Without Hour-by-Hour Supervision: A Two-Site Retrospective Study,"[""Kevin Zhu"", ""Ryan Zhang"", ""Baraa Abed"", ""Tilendra Choudhary"", ""Malvern Madondo"", ""Mehak Arora"", ""Yixuan Yang"", ""Alasdair Gent"", ""Aditya Nagori"", ""Omer T. Inan"", ""Krista L. Haines"", ""Patrick Georgoff"", ""Suresh M. Agarwal"", ""Vijay Krishnamoorthy"", ""Tetsu Ohnuma"", ""Mihai V. Podgoreanu"", ""Michael R. Pinsky"", ""Gilles Clermont"", ""Craig M. Coopersmith"", ""Craig S. Jabaley"", ""Rishikesan Kamaleswaran""]",https://arxiv.org/abs/2608.27421v1,,,2026-08-27T17:46:21Z,2026-08-28T12:32:41.184871+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27406v1,CLAP: Cross-Embodiment Video World Models are Zero-Shot Physical Simulators,"[""Kechen Liu"", ""Ola Shorinwa""]",https://arxiv.org/abs/2608.27406v1,,,2026-08-27T17:35:10Z,2026-08-28T12:32:41.184944+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27402v1,How Language Models Organize and Structure Moral Knowledge,"[""Orion Reblitz-Richardson""]",https://arxiv.org/abs/2608.27402v1,,,2026-08-27T17:30:30Z,2026-08-28T12:32:41.185001+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27397v1,Making Clinical Language Models Auditable: Concept-Guided Fine-Tuning for Robust Prediction,"[""Jin Mu"", ""Guanhua Chen""]",https://arxiv.org/abs/2608.27397v1,,,2026-08-27T17:28:35Z,2026-08-28T12:32:41.185040+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27395v1,LeVJEPA: Efficient & Scalable Video Pretraining without the Heuristics,"[""Lukas Kuhn"", ""Lucas Maes"", ""Giuseppe Serra"", ""Quentin Le Lidec"", ""Yann LeCun"", ""Randall Balestriero"", ""Florian Buettner""]",https://arxiv.org/abs/2608.27395v1,,,2026-08-27T17:26:24Z,2026-08-28T12:32:41.185108+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27392v1,Property-Specific Recoverability from Contact PPG to Camera rPPG under Heterogeneous Observation Conditions,"[""Timothy Oladunni"", ""Farouk Ganiyu-Adewumi""]",https://arxiv.org/abs/2608.27392v1,,,2026-08-27T17:23:14Z,2026-08-28T12:32:41.185163+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27391v1,CorporateBench: Large-Scale Q&A Benchmarking with Temporal Knowledge Bases,"[""Sil Hamilton"", ""Albert Yu Sun"", ""Oscar J. Romero"", ""Carl-Leander Henneking"", ""David Mimno"", ""Bishan Yang"", ""Igor Labutov""]",https://arxiv.org/abs/2608.27391v1,,,2026-08-27T17:23:04Z,2026-08-28T12:32:41.185211+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27367v1,Successive Capacity Growth: Task-Complexity-Driven Width and Depth Expansion for Vision Transformer Encoders in JEPA World Models,"[""Frederik Berenz""]",https://arxiv.org/abs/2608.27367v1,,,2026-08-27T17:04:57Z,2026-08-28T12:32:41.185268+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27366v1,Stageboost: Recommending Signals Based on Counterfactual Estimation,"[""Darpan Singhal"", ""Matan Mandelbrod"", ""Tal Franji"", ""Manasa Kolla"", ""Vipul Gaba"", ""Yuri Brovman""]",https://arxiv.org/abs/2608.27366v1,,,2026-08-27T17:04:45Z,2026-08-28T12:32:41.185306+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27365v1,KnockGS:interaction-Grounded Calibrationof Physical Gaussian Representations,"[""Chenchen Ge"", ""Hanwen Shen"", ""Bowen Jing"", ""Jiyuan Cai"", ""Xiaofeng Wang"", ""Hongsen Lei"", ""Weitao Zhou"", ""Dandan Zhang"", ""Haibao Yu""]",https://arxiv.org/abs/2608.27365v1,,,2026-08-27T17:03:38Z,2026-08-28T12:32:41.185370+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27364v1,Sophistication in GenAI Use: Field Evidence from a Large Firm,"[""Nicholas J. Hallman"", ""Zachary T. Kowaleski"", ""Anu Puvvada"", ""Jaime J. Schmidt""]",https://arxiv.org/abs/2608.27364v1,,,2026-08-27T17:03:10Z,2026-08-28T12:32:41.185413+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27358v1,RCMN: Understanding Misleadingness in Influential Public Discourse,"[""Peiling Yi""]",https://arxiv.org/abs/2608.27358v1,,,2026-08-27T16:57:40Z,2026-08-28T12:32:41.185463+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27345v1,PAWBench: How Far Are We from Probabilistically Aligned World Modeling?,"[""Yuandong Pu"", ""Le Zhuo"", ""Sayak Paul"", ""Gabriel Jorge Menezes"", ""Avram Đorđević"", ""Shiyang Li"", ""Yifan Zhou"", ""Bin Fu"", ""Wenlong Zhang"", ""Junjun He"", ""Yu Qiao"", ""Yihao Liu"", ""Jingbo Xing"", ""Xi Chen""]",https://arxiv.org/abs/2608.27345v1,,,2026-08-27T16:46:38Z,2026-08-28T12:32:41.185526+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27340v1,Not All Eval-Awareness Is Equal: Capabilities Framing Predicts Compliance,"[""Allison Zhuang"", ""Santiago Aranguri""]",https://arxiv.org/abs/2608.27340v1,,,2026-08-27T16:41:48Z,2026-08-28T12:32:41.185567+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27311v1,"Verify Smarter, Evolve Further: Efficient Harness Evolution through Behavior-Aware Verification","[""Jinghan Xu"", ""Yikai Zhang"", ""Aili Chen"", ""Weiyuan Li"", ""Jiaqing Liang"", ""Deqing Yang""]",https://arxiv.org/abs/2608.27311v1,https://github.com/jhxu5214/HarnessLens.,,2026-08-27T16:12:23Z,2026-08-28T12:32:41.185614+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27309v1,Difference-in-Differences on a Censored Rating Scale Can Manufacture an Effect: Evidence from a Pre-Registered LLM-Judge Audit,"[""Shuyi Fan"", ""Boyuan Deng"", ""Mengyu Xu"", ""Xinhong Xie"", ""Chenyang Li"", ""Hongyang Zhang""]",https://arxiv.org/abs/2608.27309v1,,,2026-08-27T16:10:16Z,2026-08-28T12:32:41.185672+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27296v1,LLMs Can Design Near-Optimal OR Algorithms,"[""Jackie Baek""]",https://arxiv.org/abs/2608.27296v1,,,2026-08-27T16:01:11Z,2026-08-28T12:32:41.185722+00:00
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2608.27282v1,TADP: Task-Aware Deformable Prediction for Single-Stage 3D Object Detection,"[""Su Wang"", ""Yaochen Li"", ""Min Yang"", ""Jiaohao Nie"", ""Chang Liu"", ""Yuehu Liu""]",https://arxiv.org/abs/2608.27282v1,,,2026-08-27T15:54:32Z,2026-08-28T12:32:41.185815+00:00
